;FIPS code;State;County;2020 Real GDP (thousands of chained 2012 dollars) ;2020 Chain-type quantity indexes for real GDP ;Excessive drinking raw value 2020;Median household income raw value 2020;Food insecurity raw value 2020;Alcohol-impaired driving deaths raw value 2020;Preventable hospital stays raw value 2020;Insufficient sleep raw value 2020;Children in poverty raw value 2020;% Hispanic raw value 2020;Mammography screening raw value 2020;Long commute - driving alone raw value 2020;Food environment index raw value 2020;Primary care physicians raw value 2020;Diabetes prevalence raw value 2020;Poor physical health days raw value 2020;Some college raw value 2020;Air pollution - particulate matter raw value 2020;Dentists raw value 2020;Frequent physical distress raw value 2020;Limited access to healthy foods raw value 2020;% 65 and older raw value 2020;Driving alone to work raw value 2020;Premature death raw value 2020;Uninsured raw value 2020;Drinking water violations raw value 2020;Children in single-parent households raw value 2020;Violent crime raw value 2020;% Native Hawaiian/Other Pacific Islander raw value 2020;Poor mental health days raw value 2020;Severe housing problems raw value 2020;Low birthweight raw value 2020;Income inequality raw value 2020;Mental health providers raw value 2020;Uninsured adults raw value 2020;Population raw value 2020;% Females raw value 2020;% below 18 years of age raw value 2020;Frequent mental distress raw value 2020;% not proficient in English raw value 2020;Other primary care providers raw value 2020;Poor or fair health raw value 2020;Unemployment raw value 2020;Social associations raw value 2020;Adult smoking raw value 2020;Physical inactivity raw value 2020;Sexually transmitted infections raw value 2020;Premature age-adjusted mortality raw value 2020;Uninsured children raw value 2020;Injury deaths raw value 2020;County Ranked (Yes=1/No=0) 2020;% Asian raw value 2020;% Rural raw value 2020;Access to exercise opportunities raw value 2020;Adult obesity raw value 2020;Teen births raw value 2020;2020 HPI Change;2020 Personal income (thousands of dollars) ;2020 Population (persons) 1/;Civilian_labor_force_2020;Employed_2020;Unemployment_rate_2020;Median_Household_Income_2020;Med_HH_Income_Percent_of_State_Total_2020;NPOPCHG2022
0;1001;Alabama;Autauga County;1525591.0;96.115;0.1502603126;59338.0;0.132;0.2678571429;7108.0;0.3590540606;0.193;0.02965774;0.41;0.396;7.2;0.000450418;0.111;4.7438888672;0.6200997368;11.7;0.0003237352;0.1368522862;0.11991125;0.1556266974;0.8652366137;8128.5911903;0.0872168595;0.0;0.2624267908;272.28222006;0.0011150879;4.6540313965;0.1466346154;0.0861952862;5.2345972691;0.0002338087;0.1114898915;55601.0;0.5144871495;0.2367403464;0.1412934665;0.008202245;0.0003956763;0.2088298733;0.0362907886;12.071202076;0.1808155718;0.347;407.2;417.54755051;0.0266915405;68.526994226;1.0;0.0122479812;0.4200216232;0.6913012406;0.333;25.284927164;0.46;2664063;58877;26405.0;24985.0;5.4;67565.0;125.21776196300829;549
1;1003;Alabama;Baldwin County;7142139.0;131.614;0.179583101;57588.0;0.116;0.3076923077;4041.0;0.3330586814;0.139;0.0464677877;0.43;0.417;8.0;0.0007289727;0.107;4.2245192015;0.6737161982;10.3;0.0004953629;0.1248010767;0.054244266;0.2044334975;0.8428243273;7354.1225298;0.1133340447;0.0;0.2413960145;203.66039629;0.0006696572;4.3040564688;0.1356620093;0.0834500318;4.4177666786;0.0009632055;0.1434852477;218022.0;0.5153837686;0.2160791113;0.1347533556;0.0054351698;0.0005595766;0.1750913436;0.0361538216;10.205617322;0.174890326;0.265;325.0;353.34311052;0.0353876329;72.385053972;1.0;0.0115034263;0.4227909911;0.7371354895;0.31;27.88069221;4.27;11971269;233140;98910.0;92751.0;6.2;71135.0;131.83401905185514;7074
2;1005;Alabama;Barbour County;699829.0;98.044;0.1284401555;34382.0;0.22;0.4;6209.0;0.3856316713;0.439;0.0427635545;0.45;0.322;5.6;0.0003165809;0.176;5.4302788594;0.3485764862;11.5;0.0003617218;0.171848975;0.1073966657;0.194204413;0.8336847037;10253.573403;0.1224279246;0.0;0.5660342605;414.27786068;0.0018488003;5.1855944125;0.1458333333;0.1147455867;5.6814100186;8.03826e-05;0.1608583414;24881.0;0.4721675174;0.2086732848;0.1658625221;0.0163168252;0.000522487;0.2959180171;0.0517138421;7.5187969925;0.2199998453;0.235;716.3;497.35006209;0.0291353383;70.274611559;1.0;0.0045416181;0.677896347;0.5316676986;0.417;40.870815362;5.92;934683;25180;8680.0;8004.0;7.8;38866.0;72.03009748322769;167
3;1007;Alabama;Bibb County;398101.0;109.487;0.1557004237;46064.0;0.143;0.275862069;5961.0;0.381488654;0.278;0.02625;0.4;0.498;7.8;0.0004852656;0.145;4.5914824378;0.4413735343;11.2;0.0002232143;0.1362657549;0.0260162701;0.1647321429;0.8491064687;11977.539484;0.1020625259;0.0;0.2868923611;89.349125982;0.0011607143;4.5516988486;0.104964539;0.1030871003;4.3685805106;0.0002232143;0.13;22400.0;0.4678125;0.2047767857;0.1401753635;0.0026821005;0.0011160714;0.1943972416;0.0397182773;8.3818598906;0.1911419989;0.335;339.7;589.04111681;0.0261780105;108.15602837;1.0;0.0023660714;0.6835260746;0.1625136374;0.376;41.696794408;1.78;768870;22223;8712.0;8073.0;7.3;50907.0;94.34560213499388;-365
4;1009;Alabama;Blount County;883216.0;100.422;0.1423059383;50412.0;0.107;0.1944444444;4060.0;0.3594501042;0.18;0.0957123098;0.34;0.594;8.4;0.0002240877;0.17;4.8608076303;0.5336107325;11.7;0.0001901798;0.1452316434;0.0288014982;0.1823651452;0.8617836202;11335.071134;0.1336075949;0.0;0.2856182796;482.69061089;0.0012102351;4.8914546677;0.1054801164;0.0760456274;4.4302623315;0.0001556017;0.1708234188;57840.0;0.5072614108;0.2315352697;0.1485927083;0.0172451994;0.000224758;0.2174529281;0.0351115732;8.4463827073;0.1920867197;0.303;234.4;515.61182276;0.0407728371;107.2853687;1.0;0.0031984786;0.8995150204;0.1563448589;0.338;33.5345953;3.62;2265818;59081;25116.0;23973.0;4.6;55203.0;102.30735016123651;427
5;1013;Alabama;Butler County;595024.0;107.416;0.1185740343;37365.0;0.206;0.2745098039;9203.0;0.419110839;0.363;0.0150914634;0.42;0.323;6.6;0.0002522068;0.192;5.4008061965;0.4167875648;10.6;0.000304878;0.1669670739;0.0292612193;0.2029979675;0.8383318316;14359.939103;0.1118600954;1.0;0.5271283635;581.58400519;0.0005081301;5.340750195;0.1315960912;0.1268028846;5.4235955818;0.0005081301;0.1450576534;19680.0;0.5342987805;0.2224593496;0.1691536387;0.0049415515;0.0007113821;0.2791067318;0.0479021764;9.079445145;0.2176533496;0.395;761.7;609.16970743;0.0265945946;100.0470221;1.0;0.0131605691;0.7123215735;0.4857974889;0.433;37.886100386;3.25;783725;19045;9236.0;8345.0;9.6;42268.0;78.33500129730531;-205
6;1015;Alabama;Calhoun County;4026694.0;96.897;0.1384223015;45400.0;0.157;0.1875;6581.0;0.4131434398;0.265;0.0391067319;0.32;0.312;6.9;0.0006362876;0.175;4.8803767403;0.5924398864;11.8;0.0005862947;0.1475440129;0.0917856658;0.1771747596;0.8480921374;12078.616145;0.1192916752;0.0;0.4019194475;756.06654427;0.0011025841;4.8160722877;0.1373419126;0.0916137367;5.0238964487;0.0011550881;0.1538868712;114277.0;0.5194658593;0.2160977275;0.1519150739;0.0099137613;0.0005600427;0.2310773322;0.0465283216;14.469004951;0.2061256037;0.317;654.6;574.56384163;0.0243855085;89.541547278;1.0;0.0096432353;0.3369682556;0.477212158;0.385;33.534616991;2.98;4597862;116266;47022.0;43367.0;7.8;50259.0;93.14466807516958;111
7;1017;Alabama;Chambers County;811937.0;109.752;0.1274573462;39917.0;0.179;0.2857142857;5622.0;0.3726657479;0.307;0.0256135654;0.38;0.318;6.4;0.0004152701;0.199;4.9411783568;0.4846033403;11.4;0.0001784917;0.1524778731;0.1032855828;0.1952104715;0.8525284801;11112.536614;0.1193807681;0.0;0.4655544369;528.99973623;0.0004462294;4.8735807661;0.159566787;0.1221374046;4.7449321347;5.94972e-05;0.1522631684;33615.0;0.5212553919;0.2080023799;0.1549667308;0.0011293763;0.0001487431;0.239954736;0.0390809112;17.79728888;0.1939292705;0.301;611.0;511.62651724;0.0253876767;81.478420027;1.0;0.0132678864;0.4914803449;0.6186467923;0.401;45.441001192;3.62;1258762;34678;16093.0;14884.0;7.5;39318.0;72.8677860558212;-358
8;1019;Alabama;Cherokee County;476187.0;96.844;0.1410656285;42132.0;0.125;0.1960784314;5521.0;0.3535507081;0.247;0.0162108175;0.36;0.461;8.3;0.0003867425;0.152;4.7756141014;0.5183621006;11.4;0.000153657;0.1436571083;0.002211124;0.2297172711;0.8311446593;12349.707594;0.1117264992;0.0;0.2377874929;330.43879198;0.0003073141;4.7112704225;0.13;0.0827250608;4.7084650307;0.0001920713;0.1394033268;26032.0;0.5046097111;0.1916871543;0.1467794145;0.0040163901;0.0008066994;0.206984706;0.0357081397;8.5083343002;0.1749867379;0.313;321.0;545.23369024;0.0313909774;108.87190178;1.0;0.0033804548;0.8573627304;0.3342952788;0.35;36.568760941;5.17;983743;24958;11672.0;11073.0;5.1;50388.0;93.38374291115312;276
9;1021;Alabama;Chilton County;967885.0;116.06;0.1450937458;47547.0;0.131;0.1604938272;6148.0;0.3517456926;0.233;0.0792698118;0.39;0.503;8.1;0.0002042345;0.186;4.7733822963;0.3990556964;11.2;0.0002944307;0.145909916;0.0146053096;0.1678481643;0.8356482827;10019.3128;0.1375970587;0.0;0.3488504655;507.81072095;0.0017439359;4.8532441372;0.1329723225;0.0869791667;5.1076679484;0.0005209159;0.1750468398;44153.0;0.5092519195;0.2376055987;0.1517709983;0.0188761752;0.0001585396;0.2118546291;0.0360957075;15.204120998;0.2018897906;0.332;354.0;519.63080554;0.0439966725;94.075942464;1.0;0.0048694313;0.8674472424;0.4629379282;0.377;46.808510638;4.31;1735704;45024;19936.0;18839.0;5.5;52693.0;97.65558397271953;625
10;1023;Alabama;Choctaw County;499772.0;90.515;0.1164229062;39907.0;0.195;0.5;4968.0;0.3829117428;0.321;0.0104353244;0.4;0.44;6.4;0.0003862495;0.174;4.9332046304;0.5800865801;10.1;0.0004672533;0.1530866335;0.0729041905;0.2299665135;0.8214631783;12479.822147;0.1134207871;1.0;0.4806231003;128.41466262;0.0;4.9878824765;0.1106115108;0.1101871102;5.8600957203;0.0015999473831496;0.1411301277;12841.0;0.527295382;0.1999065493;0.157700207;0.0041115769;0.0003893778;0.2486353129;0.0553898594;19.312475859;0.1879324829;0.362;563.9;536.1178615;0.0351721585;104.17943375;1.0;0.0017911378;1.0;0.2893426654;0.413;30.334728033;-3.56;522594;12619;4699.0;4351.0;7.4;41649.0;77.18781274324475;-110
11;1025;Alabama;Clarke County;752027.0;97.005;0.1186901052;40741.0;0.229;0.2972972973;6299.0;0.4084477971;0.317;0.0136287625;0.38;0.35;5.4;0.0005397999;0.224;5.127337236;0.382299601;10.4;0.0002926421;0.1591394417;0.111547123;0.1987040134;0.8828529685;11144.037371;0.1192636629;0.0;0.3701274363;475.31243598;0.0002090301;5.0837367294;0.1203558346;0.1310803891;8.4689826303;0.0007107023;0.1531550802;23920.0;0.5264214047;0.2171822742;0.1637406837;0.0013030448;0.0006270903;0.2523508481;0.0747344959;16.193995765;0.2057965532;0.346;643.6;492.46124259;0.0285087719;77.039708233;1.0;0.0043478261;0.7598033523;0.2527000348;0.341;39.212469237;3.59;962622;22995;7899.0;7116.0;9.9;44178.0;81.8747915045035;-200
12;1027;Alabama;Clay County;400458.0;142.711;0.1328650366;39201.0;0.145;0.4;5249.0;0.3854052487;0.258;0.0301318267;0.35;0.373;7.8;0.0003740555;0.135;4.9589695308;0.3532303371;10.6;0.0001506591;0.1505146385;0.0232687988;0.2072316384;0.8990234015;10461.83432;0.1388333809;1.0;0.3003938417;309.06721281;0.0;4.9829276834;0.1118359739;0.0935613682;5.0792586055;0.0001506591;0.1721845839;13275.0;0.510960452;0.2024858757;0.1556723269;0.00401322;0.0004519774;0.2379591741;0.0390742915;10.473554275;0.1962035415;0.326;463.8;530.99856311;0.0433869839;87.74408471;1.0;0.0024105461;1.0;0.6378122308;0.406;39.478322171;1.81;491935;14193;6140.0;5865.0;4.5;44763.0;82.95896808628933;8
13;1029;Alabama;Cleburne County;260699.0;96.514;0.1446296652;46495.0;0.135;0.2916666667;6416.0;0.3350478468;0.229;0.024821512;0.26;0.555;8.0;0.0002684564;0.125;4.546700394;0.4501416431;11.0;0.0004597224783875;0.1361781588;0.0207171577;0.1945019016;0.8136321195;11087.984454;0.1334452371;0.0;0.2454948301;103.33333333;0.0007339694;4.8672154562;0.1293916024;0.0852090032;4.7756800772;0.000400347;0.1684013566;14987.0;0.5048375259;0.2276639754;0.1492484469;0.007083658;0.0002001735;0.1928440781;0.0424865053;8.0536912752;0.1837446577;0.313;187.9;537.92248086;0.0459543276;93.446715348;1.0;0.0022019083;1.0;0.4148410366;0.373;38.831729174;6.41;566371;15035;5852.0;5556.0;5.1;50134.0;92.91300641239482;198
14;1031;Alabama;Coffee County;1262831.0;105.741;0.1518329425;55122.0;0.142;0.358490566;4863.0;0.3730473188;0.219;0.075805737;0.42;0.268;7.5;0.0005397694;0.161;4.4201197865;0.6377096238;10.9;0.0003467607;0.1343336232;0.0598120314;0.1695467067;0.8659872497;8175.3623921;0.1199236659;0.0;0.358318855;276.20804419;0.0039684833;4.5674364995;0.1210322581;0.0830853742;4.658772634;0.0006549924;0.1528678951;51909.0;0.508351153;0.2365678399;0.1409976691;0.0138017044;0.0006935214;0.1942582681;0.0394869578;14.650884836;0.1744475759;0.308;584.1;429.80914405;0.03796875;66.503583804;1.0;0.0163555453;0.4719508289;0.5372387283;0.342;26.04626523;1.71;2435403;53565;22008.0;20938.0;4.9;54203.0;100.45405685903852;634
15;1033;Alabama;Colbert County;2340695.0;98.058;0.146975929;49055.0;0.147;0.2236842105;6414.0;0.3695078304;0.21;0.0267521274;0.4;0.276;7.4;0.0006422018;0.162;4.6086376267;0.5466543892;10.7;0.0004565209;0.1388070038;0.0655170454;0.1992987838;0.9021473226;10644.992124;0.0968386252;0.0;0.3605477552;400.00735646;0.0007486944;4.5824058974;0.1372992536;0.1022674688;4.7582009157;0.0003469559;0.1212130609;54762.0;0.52048866;0.2076257259;0.1435762148;0.003404868;0.0014426062;0.2091445435;0.0461776593;16.880733945;0.1865882106;0.366;526.6;510.43682764;0.0288509784;77.833868747;1.0;0.0058982506;0.4389468656;0.5573234365;0.306;32.981766178;2.65;2351727;57236;23895.0;22152.0;7.3;54185.0;100.42069757959896;414
16;1035;Alabama;Conecuh County;453603.0;90.676;0.1204270764;32613.0;0.209;0.3125;12070.0;0.4232037304;0.401;0.0215036247;0.35;0.335;5.6;0.0004009945;0.259;5.4337528108;0.3626373626;10.3;0.0001629062;0.1689769889;0.1322977626;0.2249735277;0.8944788442;10822.452428;0.1203345531;0.0;0.5075642965;387.40920097;0.0003258125;5.3914879643;0.1335952849;0.1406411582;4.4522035786;0.000651625;0.1533437456;12277.0;0.5209741794;0.2077054655;0.1698271613;0.0;0.0002443594;0.2860874779;0.0522919448;7.217900393;0.2110751296;0.407;665.7;528.82229203;0.0296435272;94.425683786;1.0;0.0021177812;0.8094950106;0.3701995767;0.43;37.852452684;13.84;437665;11552;4582.0;4214.0;8.0;34664.0;64.24255902739168;-114
17;1037;Alabama;Coosa County;172501.0;104.963;0.1267054033;42423.0;0.157;0.2941176471;4956.0;0.3680937197;0.301;0.0251983201;0.39;0.406;6.9;0.0005457954990384;0.208;5.0890163223;0.4286895411;11.0;0.0004597224783875;0.1543865537;0.1012480749;0.2315445637;0.8397997497;12691.204176;0.1302620142;1.0;0.3951351351;254.8321954;0.001679888;5.1021191231;0.146254459;0.1369230769;4.4343642229;9.33271e-05;0.1553275454;10715.0;0.4961269249;0.1658422772;0.1573006706;0.0036145724;0.0001866542;0.2491910328;0.0418190128;10.228752092;0.2039996562;0.353;483.5;500.54755522;0.0388828039;115.54230339;1.0;0.0013999067;1.0;0.0642170032;0.403;39.755351682;8.05;369036;10383;4428.0;4156.0;6.1;46509.0;86.19481819192706;-200
